n=88, m=8, U=3.706431, f=0.05, E=10371.57
n=88, m=8, U=3.485494, f=0.05, E=9994.64
n=88, m=8, U=3.538378, f=0.05, E=9865.78
n=88, m=8, U=3.745850, f=0.05, E=10695.61
n=88, m=8, U=3.666208, f=0.05, E=10129.73
n=88, m=8, U=3.687245, f=0.05, E=10150.25
n=88, m=8, U=3.484125, f=0.05, E=9466.83
n=88, m=8, U=3.739915, f=0.05, E=10379.97
n=88, m=8, U=3.561260, f=0.05, E=9923.86
n=104, m=8, U=3.707610, f=0.05, E=10385.04
n=104, m=8, U=3.450667, f=0.05, E=9774.58
n=104, m=8, U=3.688824, f=0.05, E=10287.31
n=104, m=8, U=3.701602, f=0.05, E=10512.56
n=104, m=8, U=3.674821, f=0.05, E=10289.94
n=104, m=8, U=3.803323, f=0.05, E=10598.65
n=104, m=8, U=3.611298, f=0.05, E=10095.58
n=104, m=8, U=3.542597, f=0.05, E=9911.30
n=104, m=8, U=3.364969, f=0.05, E=9645.03
n=104, m=8, U=3.442706, f=0.05, E=9744.72
n=120, m=8, U=3.597605, f=0.05, E=10180.18
n=120, m=8, U=3.523152, f=0.05, E=10096.69
n=120, m=8, U=3.608409, f=0.05, E=10334.20
n=120, m=8, U=3.370012, f=0.05, E=9686.16
n=120, m=8, U=3.428307, f=0.05, E=9840.95
n=120, m=8, U=3.517682, f=0.05, E=10123.77
n=120, m=8, U=3.683150, f=0.05, E=10426.03
n=120, m=8, U=3.387638, f=0.05, E=9822.47
n=120, m=8, U=3.368607, f=0.05, E=9900.41
n=120, m=8, U=3.425360, f=0.05, E=9741.13
n=88, m=8, U=3.639016, f=0.06, E=10120.32
n=88, m=8, U=3.691173, f=0.06, E=10113.82
n=88, m=8, U=3.824762, f=0.06, E=10375.67
n=88, m=8, U=3.768820, f=0.06, E=10397.32
n=88, m=8, U=3.437946, f=0.06, E=9623.76
n=88, m=8, U=3.659028, f=0.06, E=10074.01
n=88, m=8, U=3.763961, f=0.06, E=10260.64
n=88, m=8, U=3.652748, f=0.06, E=10007.19
n=88, m=8, U=3.566293, f=0.06, E=9972.28
n=88, m=8, U=3.780031, f=0.06, E=10566.84
n=104, m=8, U=3.419727, f=0.06, E=9717.99
n=104, m=8, U=3.718702, f=0.06, E=10329.25
n=104, m=8, U=3.505016, f=0.06, E=9786.13
n=104, m=8, U=3.475295, f=0.06, E=9731.08
n=104, m=8, U=3.797253, f=0.06, E=10659.57
n=104, m=8, U=3.388702, f=0.06, E=9640.34
n=104, m=8, U=3.676707, f=0.06, E=10318.80
n=104, m=8, U=3.798699, f=0.06, E=10734.11
n=104, m=8, U=3.769367, f=0.06, E=10486.67
n=104, m=8, U=3.781084, f=0.06, E=10491.83
n=120, m=8, U=3.403907, f=0.06, E=9827.05
n=120, m=8, U=3.409196, f=0.06, E=9885.17
n=120, m=8, U=3.379743, f=0.06, E=9693.50
n=120, m=8, U=3.798095, f=0.06, E=10765.12
n=120, m=8, U=3.419254, f=0.06, E=9829.33
n=120, m=8, U=3.402665, f=0.06, E=9789.53
n=120, m=8, U=3.753130, f=0.06, E=10794.34
n=120, m=8, U=3.713663, f=0.06, E=10452.55
n=120, m=8, U=3.499795, f=0.06, E=10070.17
n=120, m=8, U=3.813922, f=0.06, E=10832.85
n=88, m=8, U=3.441890, f=0.07, E=9682.59
n=88, m=8, U=3.640715, f=0.07, E=10174.76
n=88, m=8, U=3.630987, f=0.07, E=10227.16
n=88, m=8, U=3.554803, f=0.07, E=10106.29
n=88, m=8, U=3.378462, f=0.07, E=9412.30
n=88, m=8, U=3.625633, f=0.07, E=10136.09
n=88, m=8, U=3.560508, f=0.07, E=9989.54
n=88, m=8, U=3.823958, f=0.07, E=10325.68
n=88, m=8, U=3.547208, f=0.07, E=9989.18
n=88, m=8, U=3.611891, f=0.07, E=10046.02
n=104, m=8, U=3.732169, f=0.07, E=10545.08
n=104, m=8, U=3.701456, f=0.07, E=10459.71
n=104, m=8, U=3.722884, f=0.07, E=10449.03
n=104, m=8, U=3.461021, f=0.07, E=9690.90
n=104, m=8, U=3.675840, f=0.07, E=10378.54
n=104, m=8, U=3.519776, f=0.07, E=9975.12
n=104, m=8, U=3.719590, f=0.07, E=10518.17
n=104, m=8, U=3.422505, f=0.07, E=10029.34
n=104, m=8, U=3.702551, f=0.07, E=10391.59
n=104, m=8, U=3.687998, f=0.07, E=10517.16
n=120, m=8, U=3.556298, f=0.07, E=10196.07
n=120, m=8, U=3.762444, f=0.07, E=10656.83
n=120, m=8, U=3.524266, f=0.07, E=10002.52
n=120, m=8, U=3.716207, f=0.07, E=10562.32
n=120, m=8, U=3.616130, f=0.07, E=10306.24
n=120, m=8, U=3.673133, f=0.07, E=10238.54
n=120, m=8, U=3.761569, f=0.07, E=10691.91
n=120, m=8, U=3.544177, f=0.07, E=10381.14
n=120, m=8, U=3.634228, f=0.07, E=10470.78
n=120, m=8, U=3.703079, f=0.07, E=10390.51
n=88, m=8, U=3.564143, f=0.08, E=9696.58
n=88, m=8, U=3.388235, f=0.08, E=9462.27
n=88, m=8, U=3.694873, f=0.08, E=10166.04
n=88, m=8, U=3.440527, f=0.08, E=9568.75
n=88, m=8, U=3.641437, f=0.08, E=10130.20
n=88, m=8, U=3.784697, f=0.08, E=10540.23
n=88, m=8, U=3.456188, f=0.08, E=9520.64
n=88, m=8, U=3.789334, f=0.08, E=10550.86
n=88, m=8, U=3.789011, f=0.08, E=10385.40
n=88, m=8, U=3.717615, f=0.08, E=10307.07
n=104, m=8, U=3.741005, f=0.08, E=10349.28
n=104, m=8, U=3.774389, f=0.08, E=11024.31
n=104, m=8, U=3.650492, f=0.08, E=10095.04
n=104, m=8, U=3.642955, f=0.08, E=9983.22
n=104, m=8, U=3.778701, f=0.08, E=10664.70
n=104, m=8, U=3.423272, f=0.08, E=9611.45
n=104, m=8, U=3.701185, f=0.08, E=10455.58
n=104, m=8, U=3.481272, f=0.08, E=9856.82
n=104, m=8, U=3.834068, f=0.08, E=10982.67
n=104, m=8, U=3.428618, f=0.08, E=9950.90
n=120, m=8, U=3.624266, f=0.08, E=10334.71
n=120, m=8, U=3.528466, f=0.08, E=10070.36
n=120, m=8, U=3.474321, f=0.08, E=9974.82
n=120, m=8, U=3.577361, f=0.08, E=10275.00
n=120, m=8, U=3.671417, f=0.08, E=10452.00
n=120, m=8, U=3.808920, f=0.08, E=10897.49
n=120, m=8, U=3.648663, f=0.08, E=10350.55
n=120, m=8, U=3.724787, f=0.08, E=10451.53
n=120, m=8, U=3.624351, f=0.08, E=10168.20
n=120, m=8, U=3.558168, f=0.08, E=10169.54
n=88, m=8, U=3.675662, f=0.09, E=10173.17
n=88, m=8, U=3.540633, f=0.09, E=9708.75
n=88, m=8, U=3.718834, f=0.09, E=10194.20
n=88, m=8, U=3.493346, f=0.09, E=9818.81
n=88, m=8, U=3.456202, f=0.09, E=9496.20
n=88, m=8, U=3.588605, f=0.09, E=9933.43
n=88, m=8, U=3.800944, f=0.09, E=10366.01
n=88, m=8, U=3.420108, f=0.09, E=9682.54
n=88, m=8, U=3.725502, f=0.09, E=10454.02
n=88, m=8, U=3.579049, f=0.09, E=9890.90
n=104, m=8, U=3.469242, f=0.09, E=9901.08
n=104, m=8, U=3.448097, f=0.09, E=9706.58
n=104, m=8, U=3.676399, f=0.09, E=10089.76
n=104, m=8, U=3.671851, f=0.09, E=10276.67
n=104, m=8, U=3.424981, f=0.09, E=9676.35
n=104, m=8, U=3.787034, f=0.09, E=10648.23
n=104, m=8, U=3.540300, f=0.09, E=9849.81
n=104, m=8, U=3.741300, f=0.09, E=10417.03
n=104, m=8, U=3.456975, f=0.09, E=9674.34
n=104, m=8, U=3.747543, f=0.09, E=10486.37
n=120, m=8, U=3.493975, f=0.09, E=9875.53
